"SkuName","SkuPartNumber","SkuID","ChildServicePlan","ChildServicePlanName"
"Career Coach For Students","CAREERCOACH_STUDENTS","01c8007a-57d2-41e0-a3c3-0b46ead16cc4","CAREERCOACH_EDU (80f0ae31-0dfb-425c-b3fc-36f40170eb35)","Career Coach (80F0ae31-0Dfb-425C-B3fc-36F40170eb35)"
"Clipchamp Premium","Clipchamp_Premium","0fe440c5-f2bf-442b-a4f4-9a7af77a200b","EXCHANGE_S_FOUNDATION (113feb6c-3fe4-4440-bddc-54d774bf0318),CLIPCHAMP (a1ace008-72f3-4ea0-8dac-33b3a23a2472),CLIPCHAMP_PREMIUM (430b908f-78e1-4812-b045-cf83320e7d5d),ONEDRIVECLIPCHAMP (f7e5b77d-f293-410a-bae8-f941f19fe680)","Exchange Foundation (113Feb6c-3Fe4-4440-Bddc-54D774bf0318),Microsoft Clipchamp (A1ace008-72F3-4Ea0-8Dac-33B3a23a2472),Microsoft Clipchamp Premium (430B908f-78E1-4812-B045-Cf83320e7d5d),Onedrive For Business (Clipchamp)(F7e5b77d-F293-410A-Bae8-F941f19fe680)"
"Clipchamp Standard","Clipchamp_Standard","481f3bc2-5756-4b28-9375-5c8c86b99e6b","EXCHANGE_S_FOUNDATION (113feb6c-3fe4-4440-bddc-54d774bf0318),CLIPCHAMP (a1ace008-72f3-4ea0-8dac-33b3a23a2472)","Exchange Foundation (113Feb6c-3Fe4-4440-Bddc-54D774bf0318),Microsoft Clipchamp (A1ace008-72F3-4Ea0-8Dac-33B3a23a2472)"
"Common Data Service For Apps File Capacity","CDS_FILE_CAPACITY","631d5fb1-a668-4c2a-9427-8830665a742e","CDS_FILE_CAPACITY (dd12a3a8-caec-44f8-b4fb-2f1a864b51e3),EXCHANGE_S_FOUNDATION (113feb6c-3fe4-4440-bddc-54d774bf0318)","Common Data Service For Apps File Capacity (Dd12a3a8-Caec-44F8-B4fb-2F1a864b51e3),Exchange Foundation (113Feb6c-3Fe4-4440-Bddc-54D774bf0318)"
"Common Data Service Database Capacity","CDS_DB_CAPACITY","e612d426-6bc3-4181-9658-91aa906b0ac0","CDS_DB_CAPACITY (360bcc37-0c11-4264-8eed-9fa7a3297c9b),EXCHANGE_S_FOUNDATION (113feb6c-3fe4-4440-bddc-54d774bf0318)","Common Data Service For Apps Database Capacity (360Bcc37-0C11-4264-8Eed-9Fa7a3297c9b),Exchange Foundation (113Feb6c-3Fe4-4440-Bddc-54D774bf0318)"
"Common Data Service Database Capacity For Government","CDS_DB_CAPACITY_GOV","eddf428b-da0e-4115-accf-b29eb0b83965","CDS_DB_CAPACITY_GOV (1ddffef6-4f69-455e-89c7-d5d72105f915),EXCHANGE_S_FOUNDATION_GOV (922ba911-5694-4e99-a794-73aed9bfeec8)","Common Data Service For Apps Database Capacity For Government (1Ddffef6-4F69-455E-89C7-D5d72105f915),Exchange Foundation For Government (922Ba911-5694-4E99-A794-73Aed9bfeec8)"
"Common Data Service Log Capacity","CDS_LOG_CAPACITY","448b063f-9cc6-42fc-a0e6-40e08724a395","CDS_LOG_CAPACITY (dc48f5c5-e87d-43d6-b884-7ac4a59e7ee9),EXCHANGE_S_FOUNDATION (113feb6c-3fe4-4440-bddc-54d774bf0318)","Common Data Service For Apps Log Capacity (Dc48f5c5-E87d-43D6-B884-7Ac4a59e7ee9),Exchange Foundation (113Feb6c-3Fe4-4440-Bddc-54D774bf0318)"
"Communications Credits","MCOPSTNC","47794cd0-f0e5-45c5-9033-2eb6b5fc84e0","MCOPSTNC (505e180f-f7e0-4b65-91d4-00d670bbd18c)","Communications Credits (505E180f-F7e0-4B65-91D4-00D670bbd18c)"
"Compliance Manager Premium Assessment Add-On","CMPA_addon","8a5fbbed-8b8c-41e5-907e-c50c471340fd","COMPLIANCE_MANAGER_PREMIUM_ASSESSMENT_ADDON (3a117d30-cfac-4f00-84ac-54f8b6a18d78)","Compliance Manager Premium Assessment Add-On (3A117d30-Cfac-4F00-84Ac-54F8b6a18d78)"
"Compliance Manager Premium Assessment Add-On For Gcc","CMPA_addon_GCC","a9d7ef53-9bea-4a2a-9650-fa7df58fe094","COMPLIANCE_MANAGER_PREMIUM_ASSESSMENT_ADDON (3a117d30-cfac-4f00-84ac-54f8b6a18d78)","Compliance Manager Premium Assessment Add-On (3A117d30-Cfac-4F00-84Ac-54F8b6a18d78)"
"Copilot For Microsoft 365","Microsoft_365_Copilot","639dec6b-bb19-468b-871c-c5c441c4b0cb","COPILOT_STUDIO_IN_COPILOT_FOR_M365 (fe6c28b3-d468-44ea-bbd0-a10a5167435c),GRAPH_CONNECTORS_COPILOT (82d30987-df9b-4486-b146-198b21d164c7),M365_COPILOT_INTELLIGENT_SEARCH (931e4a88-a67f-48b5-814f-16a5f1e6028d),M365_COPILOT_SHAREPOINT (0aedf20c-091d-420b-aadf-30c042609612),M365_COPILOT_TEAMS (b95945de-b3bd-46db-8437-f2beb6ea2347),M365_COPILOT_APPS (a62f8878-de10-42f3-b68f-6149a25ceb97),M365_COPILOT_BUSINESS_CHAT (3f30311c-6b1e-48a4-ab79-725b469da960),M365_COPILOT_CONNECTORS (89f1c4c8-0878-40f7-804d-869c9128ab5d)","Copilot Studio In Copilot For M365 (Fe6c28b3-D468-44Ea-Bbd0-A10a5167435c),Graph Connectors In Microsoft 365 Copilot (82D30987-Df9b-4486-B146-198B21d164c7),Intelligent Search (931E4a88-A67f-48B5-814F-16A5f1e6028d),Microsoft 365 Copilot For Sharepoint (0Aedf20c-091D-420B-Aadf-30C042609612),Microsoft 365 Copilot In Microsoft Teams (B95945de-B3bd-46Db-8437-F2beb6ea2347),Microsoft 365 Copilot In Productivity Apps (A62f8878-De10-42F3-B68f-6149A25ceb97),Microsoft Copilot With Graph-Grounded Chat (3F30311c-6B1e-48A4-Ab79-725B469da960),Power Platform Connectors In Microsoft 365 Copilot (89F1c4c8-0878-40F7-804D-869C9128ab5d)"
"Defender Threat Intelligence","Defender_Threat_Intelligence","a9c51c15-ffad-4c66-88c0-8771455c832d","THREAT_INTELLIGENCE_APP (fbdb91e6-7bfd-4a1f-8f7a-d27f4ef39702)","Defender Threat Intelligence (Fbdb91e6-7Bfd-4A1f-8F7a-D27f4ef39702)"
